Date,WTI Expiration Calendar,WTI F_1,WTI F_2,WTI_F4,"Event (1= roll, 2=expiration, 0=regular day)",Dates in between roll and expiry,Transaction Costs,dF(t)=F(t)-F(t-1),Spot Equity Line, Rolling Futures ,Futures Equity Line
3/1/13,, $90.68 , $91.14 ,91.86,0,0, $-   , $(1.37), $90.68 , $(1.37), $64.76 
3/4/13,, $90.12 , $90.58 ,91.3,0,0, $-   , $(0.56), $90.12 , $(0.56), $64.20 
3/5/13,, $90.82 , $91.28 ,92,0,0, $-   , $0.70 , $90.82 , $0.70 , $64.90 
3/6/13,, $90.43 , $90.90 ,91.57,0,0, $-   , $(0.39), $90.43 , $(0.39), $64.51 
3/7/13,, $91.56 , $92.03 ,92.62,0,0, $-   , $1.13 , $91.56 , $1.13 , $65.64 
3/8/13,, $91.95 , $92.43 ,93.01,0,0, $-   , $0.39 , $91.95 , $0.39 , $66.03 
3/11/13,, $92.06 , $92.52 ,93.08,0,0, $-   , $0.11 , $92.06 , $0.11 , $66.14 
3/12/13,, $92.54 , $92.92 ,93.37,0,0, $-   , $0.48 , $92.54 , $0.48 , $66.62 
3/13/13,, $92.52 , $92.88 ,93.26,1,1, $0.02 , $(0.02), $92.52 , $(0.02), $66.58 
3/14/13,, $93.03 , $93.38 ,93.75,0,2, $-   , $0.51 , $93.03 , $0.50 , $67.08 
3/15/13,, $93.45 , $93.82 ,94.23,0,3, $-   , $0.42 , $93.45 , $0.44 , $67.52 
3/18/13,, $93.74 , $94.11 ,94.5,0,4, $-   , $0.29 , $93.74 , $0.29 , $67.81 
3/19/13,, $92.16 , $92.52 ,92.99,0,5, $-   , $(1.58), $92.16 , $(1.59), $66.22 
3/20/13,, $92.96 , $93.50 ,93.95,2,0, $-   , $0.80 , $92.96 , $0.98 , $67.20 
3/21/13,, $92.45 , $92.77 ,93.02,0,0, $-   , $(0.51), $92.45 , $(1.05), $66.15 
3/22/13,, $93.71 , $93.96 ,94.07,0,0, $-   , $1.26 , $93.71 , $1.26 , $67.41 
3/25/13,, $94.81 , $95.09 ,95.2,0,0, $-   , $1.10 , $94.81 , $1.10 , $68.51 
3/26/13,, $96.34 , $96.61 ,96.68,0,0, $-   , $1.53 , $96.34 , $1.53 , $70.04 
3/27/13,, $96.58 , $96.84 ,96.91,0,0, $-   , $0.24 , $96.58 , $0.24 , $70.28 
3/28/13,, $97.23 , $97.49 ,97.57,0,0, $-   , $0.65 , $97.23 , $0.65 , $70.93 
4/1/13,, $97.07 , $97.38 ,97.61,0,0, $-   , $(0.16), $97.07 , $(0.16), $70.77 
4/2/13,, $97.19 , $97.50 ,97.73,0,0, $-   , $0.12 , $97.19 , $0.12 , $70.89 
4/3/13,, $94.45 , $94.77 ,95.06,0,0, $-   , $(2.74), $94.45 , $(2.74), $68.15 
4/4/13,, $93.26 , $93.56 ,93.88,0,0, $-   , $(1.19), $93.26 , $(1.19), $66.96 
4/5/13,, $92.70 , $93.01 ,93.32,0,0, $-   , $(0.56), $92.70 , $(0.56), $66.40 
4/8/13,, $93.36 , $93.68 ,93.99,0,0, $-   , $0.66 , $93.36 , $0.66 , $67.06 
4/9/13,, $94.20 , $94.51 ,94.8,0,0, $-   , $0.84 , $94.20 , $0.84 , $67.90 
4/10/13,, $94.64 , $94.97 ,95.29,0,0, $-   , $0.44 , $94.64 , $0.44 , $68.34 
4/11/13,, $93.51 , $93.85 ,94.19,0,0, $-   , $(1.13), $93.51 , $(1.13), $67.21 
4/12/13,, $91.29 , $91.61 ,92.01,0,0, $-   , $(2.22), $91.29 , $(2.22), $64.99 
4/15/13,, $88.71 , $89.03 ,89.42,1,1, $0.02 , $(2.58), $88.71 , $(2.58), $62.39 
4/16/13,, $88.72 , $89.03 ,89.41,0,2, $-   , $0.01 , $88.72 , $-   , $62.39 
4/17/13,, $86.68 , $86.97 ,87.28,0,3, $-   , $(2.04), $86.68 , $(2.06), $60.33 
4/18/13,, $87.73 , $88.00 ,88.25,0,4, $-   , $1.05 , $87.73 , $1.03 , $61.36 
4/19/13,, $88.01 , $88.27 ,88.54,0,5, $-   , $0.28 , $88.01 , $0.27 , $61.63 
4/22/13,, $88.76 , $89.19 ,89.57,2,0, $-   , $0.75 , $88.76 , $0.92 , $62.55 
4/23/13,, $89.18 , $89.46 ,89.52,0,0, $-   , $0.42 , $89.18 , $(0.01), $62.54 
4/24/13,, $91.43 , $91.69 ,91.63,0,0, $-   , $2.25 , $91.43 , $2.25 , $64.79 
4/25/13,, $93.64 , $93.91 ,93.82,0,0, $-   , $2.21 , $93.64 , $2.21 , $67.00 
4/26/13,, $93.00 , $93.25 ,93.09,0,0, $-   , $(0.64), $93.00 , $(0.64), $66.36 
4/29/13,, $94.50 , $94.72 ,94.45,0,0, $-   , $1.50 , $94.50 , $1.50 , $67.86 
4/30/13,, $93.46 , $93.68 ,93.41,0,0, $-   , $(1.04), $93.46 , $(1.04), $66.82 
5/1/13,, $91.03 , $91.24 ,90.98,0,0, $-   , $(2.43), $91.03 , $(2.43), $64.39 
5/2/13,, $93.99 , $94.20 ,93.89,0,0, $-   , $2.96 , $93.99 , $2.96 , $67.35 
5/3/13,, $95.61 , $95.82 ,95.43,0,0, $-   , $1.62 , $95.61 , $1.62 , $68.97 
5/6/13,, $96.16 , $96.39 ,96.11,0,0, $-   , $0.55 , $96.16 , $0.55 , $69.52 
5/7/13,, $95.62 , $95.86 ,95.59,0,0, $-   , $(0.54), $95.62 , $(0.54), $68.98 
5/8/13,, $96.62 , $96.85 ,96.47,0,0, $-   , $1.00 , $96.62 , $1.00 , $69.98 
5/9/13,, $96.39 , $96.66 ,96.41,0,0, $-   , $(0.23), $96.39 , $(0.23), $69.75 
5/10/13,, $96.04 , $96.29 ,96.03,0,0, $-   , $(0.35), $96.04 , $(0.35), $69.40 
5/13/13,, $95.17 , $95.41 ,95.2,0,0, $-   , $(0.87), $95.17 , $(0.87), $68.53 
5/14/13,, $94.21 , $94.48 ,94.37,1,1, $0.02 , $(0.96), $94.21 , $(0.96), $67.55 
5/15/13,, $94.30 , $94.56 ,94.49,0,2, $-   , $0.09 , $94.30 , $0.08 , $67.63 
5/16/13,, $95.16 , $95.45 ,95.42,0,3, $-   , $0.86 , $95.16 , $0.89 , $68.52 
5/17/13,, $96.02 , $96.29 ,96.25,0,4, $-   , $0.86 , $96.02 , $0.84 , $69.36 
5/20/13,, $96.71 , $96.93 ,96.85,0,5, $-   , $0.69 , $96.71 , $0.64 , $70.00 
5/21/13,, $96.16 , $96.18 ,96.17,2,0, $-   , $(0.55), $96.16 , $(0.75), $69.25 
5/22/13,, $94.28 , $94.46 ,94.06,0,0, $-   , $(1.88), $94.28 , $(1.90), $67.35 
5/23/13,, $94.25 , $94.42 ,94,0,0, $-   , $(0.03), $94.25 , $(0.03), $67.32 
5/24/13,, $94.15 , $94.34 ,93.98,0,0, $-   , $(0.10), $94.15 , $(0.10), $67.22 
5/28/13,, $95.01 , $95.20 ,94.88,0,0, $-   , $0.86 , $95.01 , $0.86 , $68.08 
5/29/13,, $93.13 , $93.35 ,93.15,0,0, $-   , $(1.88), $93.13 , $(1.88), $66.20 
5/30/13,, $93.61 , $93.80 ,93.57,0,0, $-   , $0.48 , $93.61 , $0.48 , $66.68 
5/31/13,, $91.97 , $92.21 ,92.12,0,0, $-   , $(1.64), $91.97 , $(1.64), $65.04 
6/3/13,, $93.45 , $93.67 ,93.55,0,0, $-   , $1.48 , $93.45 , $1.48 , $66.52 
6/4/13,, $93.31 , $93.55 ,93.51,0,0, $-   , $(0.14), $93.31 , $(0.14), $66.38 
6/5/13,, $93.74 , $93.96 ,93.86,0,0, $-   , $0.43 , $93.74 , $0.43 , $66.81 
6/6/13,, $94.76 , $94.98 ,94.8,0,0, $-   , $1.02 , $94.76 , $1.02 , $67.83 
6/7/13,, $96.03 , $96.27 ,96.05,0,0, $-   , $1.27 , $96.03 , $1.27 , $69.10 
6/10/13,, $95.77 , $96.00 ,95.84,0,0, $-   , $(0.26), $95.77 , $(0.26), $68.84 
6/11/13,, $95.38 , $95.60 ,95.4,0,0, $-   , $(0.39), $95.38 , $(0.39), $68.45 
6/12/13,, $95.88 , $96.10 ,95.85,0,0, $-   , $0.50 , $95.88 , $0.50 , $68.95 
6/13/13,, $96.69 , $96.92 ,96.66,1,1, $0.02 , $0.81 , $96.69 , $0.81 , $69.74 
6/14/13,, $97.85 , $98.07 ,97.82,0,2, $-   , $1.16 , $97.85 , $1.15 , $70.89 
6/17/13,, $97.77 , $98.03 ,97.87,0,3, $-   , $(0.08), $97.77 , $(0.04), $70.85 
6/18/13,, $98.44 , $98.67 ,98.43,0,4, $-   , $0.67 , $98.44 , $0.64 , $71.49 
6/19/13,, $98.24 , $98.48 ,98.31,0,5, $-   , $(0.20), $98.24 , $(0.19), $71.30 
6/20/13,, $95.40 , $95.14 ,94.84,2,0, $-   , $(2.84), $95.40 , $(3.34), $67.96 
6/21/13,, $93.69 , $93.63 ,92.74,0,0, $-   , $(1.71), $93.69 , $(1.45), $66.51 
6/24/13,, $95.18 , $95.04 ,93.91,0,0, $-   , $1.49 , $95.18 , $1.49 , $68.00 
6/25/13,, $95.32 , $95.21 ,94.04,0,0, $-   , $0.14 , $95.32 , $0.14 , $68.14 
6/26/13,, $95.50 , $95.41 ,94.22,0,0, $-   , $0.18 , $95.50 , $0.18 , $68.32 
6/27/13,, $97.05 , $96.89 ,95.61,0,0, $-   , $1.55 , $97.05 , $1.55 , $69.87 
6/28/13,, $96.56 , $96.44 ,95.1,0,0, $-   , $(0.49), $96.56 , $(0.49), $69.38 
7/1/13,, $97.99 , $97.88 ,96.23,0,0, $-   , $1.43 , $97.99 , $1.43 , $70.81 
7/2/13,, $99.60 , $99.42 ,97.41,0,0, $-   , $1.61 , $99.60 , $1.61 , $72.42 
7/3/13,, $101.24 , $101.11 ,98.97,0,0, $-   , $1.64 , $101.24 , $1.64 , $74.06 
7/5/13,, $103.22 , $103.05 ,100.45,0,0, $-   , $1.98 , $103.22 , $1.98 , $76.04 
7/8/13,, $103.14 , $103.02 ,100.55,0,0, $-   , $(0.08), $103.14 , $(0.08), $75.96 
7/9/13,, $103.53 , $103.31 ,100.8,0,0, $-   , $0.39 , $103.53 , $0.39 , $76.35 
7/10/13,, $106.52 , $105.62 ,102.29,0,0, $-   , $2.99 , $106.52 , $2.99 , $79.34 
7/11/13,, $104.91 , $104.38 ,101.59,0,0, $-   , $(1.61), $104.91 , $(1.61), $77.73 
7/12/13,, $105.95 , $105.55 ,102.66,0,0, $-   , $1.04 , $105.95 , $1.04 , $78.77 
7/15/13,, $106.32 , $105.92 ,102.99,1,1, $0.02 , $0.37 , $106.32 , $0.37 , $79.12 
7/16/13,, $106.00 , $105.69 ,102.95,0,2, $-   , $(0.32), $106.00 , $(0.23), $78.89 
7/17/13,, $106.48 , $106.35 ,103.58,0,3, $-   , $0.48 , $106.48 , $0.66 , $79.55 
7/18/13,, $108.04 , $107.81 ,104.62,0,4, $-   , $1.56 , $108.04 , $1.46 , $81.01 
7/19/13,, $108.05 , $107.87 ,104.35,0,5, $-   , $0.01 , $108.05 , $0.06 , $81.07 
7/22/13,, $106.91 , $106.94 ,103.92,2,0, $-   , $(1.14), $106.91 , $(0.93), $80.14 
7/23/13,, $107.23 , $105.79 ,102.64,0,0, $-   , $0.32 , $107.23 , $0.29 , $80.43 
7/24/13,, $105.39 , $104.10 ,101.26,0,0, $-   , $(1.84), $105.39 , $(1.84), $78.59 
7/25/13,, $105.49 , $104.47 ,101.78,0,0, $-   , $0.10 , $105.49 , $0.10 , $78.69 
7/26/13,, $104.70 , $104.01 ,101.42,0,0, $-   , $(0.79), $104.70 , $(0.79), $77.90 
7/29/13,, $104.55 , $103.90 ,101.41,0,0, $-   , $(0.15), $104.55 , $(0.15), $77.75 
7/30/13,, $103.08 , $102.50 ,100.49,0,0, $-   , $(1.47), $103.08 , $(1.47), $76.28 
7/31/13,, $105.03 , $104.22 ,101.65,0,0, $-   , $1.95 , $105.03 , $1.95 , $78.23 
8/1/13,, $107.89 , $106.93 ,103.71,0,0, $-   , $2.86 , $107.89 , $2.86 , $81.09 
8/2/13,, $106.94 , $106.24 ,103.23,0,0, $-   , $(0.95), $106.94 , $(0.95), $80.14 
8/5/13,, $106.56 , $105.90 ,103.08,0,0, $-   , $(0.38), $106.56 , $(0.38), $79.76 
8/6/13,, $105.30 , $104.76 ,102.11,0,0, $-   , $(1.26), $105.30 , $(1.26), $78.50 
8/7/13,, $104.37 , $103.91 ,101.49,0,0, $-   , $(0.93), $104.37 , $(0.93), $77.57 
8/8/13,, $103.40 , $102.87 ,100.53,0,0, $-   , $(0.97), $103.40 , $(0.97), $76.60 
8/9/13,, $105.97 , $105.16 ,102.38,0,0, $-   , $2.57 , $105.97 , $2.57 , $79.17 
8/12/13,, $106.11 , $105.52 ,102.97,0,0, $-   , $0.14 , $106.11 , $0.14 , $79.31 
8/13/13,, $106.83 , $106.40 ,103.78,1,1, $0.02 , $0.72 , $106.83 , $0.72 , $80.01 
8/14/13,, $106.85 , $106.56 ,103.97,0,2, $-   , $0.02 , $106.85 , $0.16 , $80.17 
8/15/13,, $107.33 , $107.19 ,104.64,0,3, $-   , $0.48 , $107.33 , $0.63 , $80.80 
8/16/13,, $107.46 , $107.29 ,105.17,0,4, $-   , $0.13 , $107.46 , $0.10 , $80.90 
8/19/13,, $107.10 , $106.86 ,104.73,0,5, $-   , $(0.36), $107.10 , $(0.43), $80.47 
8/20/13,, $104.96 , $105.11 ,103.59,2,0, $-   , $(2.14), $104.96 , $(1.75), $78.72 
8/21/13,, $103.85 , $103.37 ,101.25,0,0, $-   , $(1.11), $103.85 , $(1.26), $77.46 
8/22/13,, $105.03 , $104.33 ,101.96,0,0, $-   , $1.18 , $105.03 , $1.18 , $78.64 
8/23/13,, $106.42 , $105.72 ,103.11,0,0, $-   , $1.39 , $106.42 , $1.39 , $80.03 
8/26/13,, $105.92 , $105.35 ,102.78,0,0, $-   , $(0.50), $105.92 , $(0.50), $79.53 
8/27/13,, $109.01 , $108.30 ,105.37,0,0, $-   , $3.09 , $109.01 , $3.09 , $82.62 
8/28/13,, $110.10 , $109.37 ,106.18,0,0, $-   , $1.09 , $110.10 , $1.09 , $83.71 
8/29/13,, $108.80 , $108.15 ,104.95,0,0, $-   , $(1.30), $108.80 , $(1.30), $82.41 
8/30/13,, $107.65 , $107.08 ,104.17,0,0, $-   , $(1.15), $107.65 , $(1.15), $81.26 
9/3/13,, $108.54 , $107.85 ,104.83,0,0, $-   , $0.89 , $108.54 , $0.89 , $82.15 
9/4/13,, $107.23 , $106.59 ,103.92,0,0, $-   , $(1.31), $107.23 , $(1.31), $80.84 
9/5/13,, $108.37 , $107.67 ,104.79,0,0, $-   , $1.14 , $108.37 , $1.14 , $81.98 
9/6/13,, $110.53 , $109.52 ,106.24,0,0, $-   , $2.16 , $110.53 , $2.16 , $84.14 
9/9/13,, $109.52 , $108.47 ,105.15,0,0, $-   , $(1.01), $109.52 , $(1.01), $83.13 
9/10/13,, $107.39 , $106.49 ,103.35,0,0, $-   , $(2.13), $107.39 , $(2.13), $81.00 
9/11/13,, $107.56 , $106.64 ,103.54,0,0, $-   , $0.17 , $107.56 , $0.17 , $81.17 
9/12/13,, $108.60 , $107.75 ,104.54,0,0, $-   , $1.04 , $108.60 , $1.04 , $82.21 
9/13/13,, $108.21 , $107.54 ,104.37,1,1, $0.02 , $(0.39), $108.21 , $(0.39), $81.80 
9/16/13,, $106.59 , $106.19 ,103.35,0,2, $-   , $(1.62), $106.59 , $(1.35), $80.45 
9/17/13,, $105.42 , $104.82 ,101.99,0,3, $-   , $(1.17), $105.42 , $(1.37), $79.08 
9/18/13,, $108.07 , $107.28 ,104.43,0,4, $-   , $2.65 , $108.07 , $2.46 , $81.54 
9/19/13,, $106.39 , $105.86 ,103.11,0,5, $-   , $(1.68), $106.39 , $(1.42), $80.12 
9/20/13,, $104.67 , $104.75 ,102.49,2,0, $-   , $(1.72), $104.67 , $(1.11), $79.01 
9/23/13,, $103.59 , $102.72 ,100.52,0,0, $-   , $(1.08), $103.59 , $(1.16), $77.85 
9/24/13,, $103.13 , $102.48 ,100.41,0,0, $-   , $(0.46), $103.13 , $(0.46), $77.39 
9/25/13,, $102.66 , $102.05 ,100.13,0,0, $-   , $(0.47), $102.66 , $(0.47), $76.92 
9/26/13,, $103.03 , $102.52 ,100.75,0,0, $-   , $0.37 , $103.03 , $0.37 , $77.29 
9/27/13,, $102.87 , $102.34 ,100.46,0,0, $-   , $(0.16), $102.87 , $(0.16), $77.13 
9/30/13,, $102.33 , $101.90 ,100.16,0,0, $-   , $(0.54), $102.33 , $(0.54), $76.59 
10/1/13,, $102.04 , $101.69 ,100.03,0,0, $-   , $(0.29), $102.04 , $(0.29), $76.30 
10/2/13,, $104.10 , $103.64 ,101.7,0,0, $-   , $2.06 , $104.10 , $2.06 , $78.36 
10/3/13,, $103.31 , $102.97 ,101.25,0,0, $-   , $(0.79), $103.31 , $(0.79), $77.57 
10/4/13,, $103.84 , $103.53 ,101.85,0,0, $-   , $0.53 , $103.84 , $0.53 , $78.10 
10/7/13,, $103.03 , $102.83 ,101.56,0,0, $-   , $(0.81), $103.03 , $(0.81), $77.29 
10/8/13,, $103.49 , $103.31 ,102.04,0,0, $-   , $0.46 , $103.49 , $0.46 , $77.75 
10/9/13,, $101.61 , $101.43 ,100.32,0,0, $-   , $(1.88), $101.61 , $(1.88), $75.87 
10/10/13,, $103.01 , $102.89 ,101.91,0,0, $-   , $1.40 , $103.01 , $1.40 , $77.27 
10/11/13,, $102.02 , $102.06 ,101.45,0,0, $-   , $(0.99), $102.02 , $(0.99), $76.28 
10/14/13,, $102.41 , $102.48 ,101.78,0,0, $-   , $0.39 , $102.41 , $0.39 , $76.67 
10/15/13,, $101.21 , $101.41 ,100.86,1,1, $0.02 , $(1.20), $101.21 , $(1.20), $75.45 
10/16/13,, $102.29 , $102.49 ,101.9,0,2, $-   , $1.08 , $102.29 , $1.08 , $76.53 
10/17/13,, $100.67 , $100.87 ,100.12,0,3, $-   , $(1.62), $100.67 , $(1.62), $74.91 
10/18/13,, $100.81 , $101.11 ,100.54,0,4, $-   , $0.14 , $100.81 , $0.24 , $75.15 
10/21/13,, $99.22 , $99.68 ,99.49,0,5, $-   , $(1.59), $99.22 , $(1.43), $73.72 
10/22/13,, $97.80 , $98.30 ,98.31,2,0, $-   , $(1.42), $97.80 , $(1.38), $72.34 
10/23/13,, $96.86 , $97.00 ,96.27,0,0, $-   , $(0.94), $96.86 , $(1.44), $70.90 
10/24/13,, $97.11 , $97.24 ,96.4,0,0, $-   , $0.25 , $97.11 , $0.25 , $71.15 
10/25/13,, $97.85 , $97.95 ,97.04,0,0, $-   , $0.74 , $97.85 , $0.74 , $71.89 
10/28/13,, $98.68 , $98.86 ,98.09,0,0, $-   , $0.83 , $98.68 , $0.83 , $72.72 
10/29/13,, $98.20 , $98.38 ,97.72,0,0, $-   , $(0.48), $98.20 , $(0.48), $72.24 
10/30/13,, $96.77 , $97.06 ,96.8,0,0, $-   , $(1.43), $96.77 , $(1.43), $70.81 
10/31/13,, $96.38 , $96.65 ,96.47,0,0, $-   , $(0.39), $96.38 , $(0.39), $70.42 
11/1/13,, $94.61 , $94.96 ,94.96,0,0, $-   , $(1.77), $94.61 , $(1.77), $68.65 
11/4/13,, $94.62 , $94.98 ,95.11,0,0, $-   , $0.01 , $94.62 , $0.01 , $68.66 
11/5/13,, $93.37 , $93.73 ,93.93,0,0, $-   , $(1.25), $93.37 , $(1.25), $67.41 
11/6/13,, $94.80 , $95.13 ,95.23,0,0, $-   , $1.43 , $94.80 , $1.43 , $68.84 
11/7/13,, $94.20 , $94.54 ,94.62,0,0, $-   , $(0.60), $94.20 , $(0.60), $68.24 
11/8/13,, $94.60 , $94.95 ,95.08,0,0, $-   , $0.40 , $94.60 , $0.40 , $68.64 
11/11/13,, $95.14 , $95.47 ,95.59,0,0, $-   , $0.54 , $95.14 , $0.54 , $69.18 
11/12/13,, $93.04 , $93.52 ,93.86,0,0, $-   , $(2.10), $93.04 , $(2.10), $67.08 
11/13/13,, $93.88 , $94.49 ,94.88,1,1, $0.02 , $0.84 , $93.88 , $0.84 , $67.90 
11/14/13,, $93.76 , $94.41 ,94.97,0,2, $-   , $(0.12), $93.76 , $(0.08), $67.82 
11/15/13,, $93.84 , $94.49 ,94.99,0,3, $-   , $0.08 , $93.84 , $0.08 , $67.90 
11/18/13,, $93.03 , $93.68 ,94.18,0,4, $-   , $(0.81), $93.03 , $(0.81), $67.09 
11/19/13,, $93.34 , $93.89 ,94.26,0,5, $-   , $0.31 , $93.34 , $0.21 , $67.30 
11/20/13,, $93.33 , $93.85 ,94.24,2,0, $-   , $(0.01), $93.33 , $(0.04), $67.26 
11/21/13,, $95.44 , $95.69 ,95.66,0,0, $-   , $2.11 , $95.44 , $1.59 , $68.85 
11/22/13,, $94.84 , $95.15 ,95.24,0,0, $-   , $(0.60), $94.84 , $(0.60), $68.25 
11/25/13,, $94.09 , $94.40 ,94.55,0,0, $-   , $(0.75), $94.09 , $(0.75), $67.50 
11/26/13,, $93.68 , $94.00 ,94.22,0,0, $-   , $(0.41), $93.68 , $(0.41), $67.09 
11/27/13,, $92.30 , $92.63 ,92.95,0,0, $-   , $(1.38), $92.30 , $(1.38), $65.71 
11/29/13,, $92.72 , $93.01 ,93.32,0,0, $-   , $0.42 , $92.72 , $0.42 , $66.13 
12/2/13,, $93.82 , $94.10 ,94.27,0,0, $-   , $1.10 , $93.82 , $1.10 , $67.23 
12/3/13,, $96.04 , $96.27 ,96.07,0,0, $-   , $2.22 , $96.04 , $2.22 , $69.45 
12/4/13,, $97.20 , $97.43 ,97.18,0,0, $-   , $1.16 , $97.20 , $1.16 , $70.61 
12/5/13,, $97.38 , $97.61 ,97.36,0,0, $-   , $0.18 , $97.38 , $0.18 , $70.79 
12/6/13,, $97.65 , $97.90 ,97.66,0,0, $-   , $0.27 , $97.65 , $0.27 , $71.06 
12/9/13,, $97.34 , $97.56 ,97.29,0,0, $-   , $(0.31), $97.34 , $(0.31), $70.75 
12/10/13,, $98.51 , $98.66 ,98.19,0,0, $-   , $1.17 , $98.51 , $1.17 , $71.92 
12/11/13,, $97.44 , $97.72 ,97.39,0,0, $-   , $(1.07), $97.44 , $(1.07), $70.85 
12/12/13,, $97.50 , $97.82 ,97.42,1,1, $0.02 , $0.06 , $97.50 , $0.06 , $70.89 
12/13/13,, $96.60 , $96.93 ,96.55,0,2, $-   , $(0.90), $96.60 , $(0.89), $70.00 
12/16/13,, $97.48 , $97.77 ,97.28,0,3, $-   , $0.88 , $97.48 , $0.84 , $70.84 
12/17/13,, $97.22 , $97.47 ,96.92,0,4, $-   , $(0.26), $97.22 , $(0.30), $70.54 
12/18/13,, $97.80 , $98.06 ,97.41,0,5, $-   , $0.58 , $97.80 , $0.59 , $71.13 
12/19/13,, $98.77 , $99.04 ,98.4,2,0, $-   , $0.97 , $98.77 , $0.98 , $72.11 
12/20/13,, $99.32 , $99.26 ,97.91,0,0, $-   , $0.55 , $99.32 , $0.28 , $72.39 
12/23/13,, $98.91 , $98.89 ,97.71,0,0, $-   , $(0.41), $98.91 , $(0.41), $71.98 
12/24/13,, $99.22 , $99.34 ,98.31,0,0, $-   , $0.31 , $99.22 , $0.31 , $72.29 
12/26/13,, $99.55 , $99.62 ,98.49,0,0, $-   , $0.33 , $99.55 , $0.33 , $72.62 
12/27/13,, $100.32 , $100.39 ,99.18,0,0, $-   , $0.77 , $100.32 , $0.77 , $73.39 
12/30/13,, $99.29 , $99.43 ,98.66,0,0, $-   , $(1.03), $99.29 , $(1.03), $72.36 
12/31/13,, $98.42 , $98.55 ,97.99,0,0, $-   , $(0.87), $98.42 , $(0.87), $71.49 
1/2/14,, $95.44 , $95.62 ,95.2,0,0, $-   , $(2.98), $95.44 , $(2.98), $68.51 
1/3/14,, $93.96 , $94.14 ,93.75,0,0, $-   , $(1.48), $93.96 , $(1.48), $67.03 
1/6/14,, $93.43 , $93.58 ,93.29,0,0, $-   , $(0.53), $93.43 , $(0.53), $66.50 
1/7/14,, $93.67 , $93.84 ,93.39,0,0, $-   , $0.24 , $93.67 , $0.24 , $66.74 
1/8/14,, $92.33 , $92.53 ,92.2,0,0, $-   , $(1.34), $92.33 , $(1.34), $65.40 
1/9/14,, $91.66 , $91.89 ,91.69,0,0, $-   , $(0.67), $91.66 , $(0.67), $64.73 
1/10/14,, $92.72 , $92.95 ,92.68,0,0, $-   , $1.06 , $92.72 , $1.06 , $65.79 
1/13/14,, $91.80 , $92.01 ,91.74,1,1, $0.02 , $(0.92), $91.80 , $(0.92), $64.85 
1/14/14,, $92.59 , $92.78 ,92.32,0,2, $-   , $0.79 , $92.59 , $0.77 , $65.62 
1/15/14,, $94.17 , $94.35 ,93.77,0,3, $-   , $1.58 , $94.17 , $1.57 , $67.19 
1/16/14,, $93.96 , $94.10 ,93.48,0,4, $-   , $(0.21), $93.96 , $(0.25), $66.94 
1/17/14,, $94.37 , $94.59 ,94.03,0,5, $-   , $0.41 , $94.37 , $0.49 , $67.43 
1/21/14,, $94.99 , $94.97 ,94.4,2,0, $-   , $0.62 , $94.99 , $0.38 , $67.81 
1/22/14,, $96.73 , $96.37 ,95.09,0,0, $-   , $1.74 , $96.73 , $1.76 , $69.57 
1/23/14,, $97.32 , $96.76 ,95.05,0,0, $-   , $0.59 , $97.32 , $0.59 , $70.16 
1/24/14,, $96.64 , $96.22 ,94.76,0,0, $-   , $(0.68), $96.64 , $(0.68), $69.48 
1/27/14,, $95.72 , $95.36 ,93.97,0,0, $-   , $(0.92), $95.72 , $(0.92), $68.56 
1/28/14,, $97.41 , $96.96 ,95.46,0,0, $-   , $1.69 , $97.41 , $1.69 , $70.25 
1/29/14,, $97.36 , $96.88 ,95.38,0,0, $-   , $(0.05), $97.36 , $(0.05), $70.20 
1/30/14,, $98.23 , $97.66 ,95.93,0,0, $-   , $0.87 , $98.23 , $0.87 , $71.07 
1/31/14,, $97.49 , $96.71 ,94.85,0,0, $-   , $(0.74), $97.49 , $(0.74), $70.33 
2/3/14,, $96.43 , $95.72 ,94.02,0,0, $-   , $(1.06), $96.43 , $(1.06), $69.27 
2/4/14,, $97.19 , $96.46 ,94.75,0,0, $-   , $0.76 , $97.19 , $0.76 , $70.03 
2/5/14,, $97.38 , $96.76 ,95.22,0,0, $-   , $0.19 , $97.38 , $0.19 , $70.22 
2/6/14,, $97.84 , $97.32 ,95.94,0,0, $-   , $0.46 , $97.84 , $0.46 , $70.68 
2/7/14,, $99.88 , $99.35 ,97.84,0,0, $-   , $2.04 , $99.88 , $2.04 , $72.72 
2/10/14,, $100.06 , $99.44 ,97.81,0,0, $-   , $0.18 , $100.06 , $0.18 , $72.90 
2/11/14,, $99.94 , $99.44 ,97.91,0,0, $-   , $(0.12), $99.94 , $(0.12), $72.78 
2/12/14,, $100.37 , $99.92 ,98.37,1,1, $0.02 , $0.43 , $100.37 , $0.43 , $73.19 
2/13/14,, $100.35 , $100.05 ,98.54,0,2, $-   , $(0.02), $100.35 , $0.13 , $73.32 
2/14/14,, $100.30 , $100.13 ,98.73,0,3, $-   , $(0.05), $100.30 , $0.08 , $73.40 
2/18/14,, $102.43 , $102.10 ,100.3,0,4, $-   , $2.13 , $102.43 , $1.97 , $75.37 
2/19/14,, $103.31 , $102.84 ,100.8,0,5, $-   , $0.88 , $103.31 , $0.74 , $76.11 
2/20/14,, $102.92 , $102.75 ,100.89,2,0, $-   , $(0.39), $102.92 , $(0.09), $76.02 
2/21/14,, $102.20 , $101.37 ,99.53,0,0, $-   , $(0.72), $102.20 , $(0.55), $75.47 
